# C1 - Advanced Level Words (CEFR C1)
# Format: english|category|partOfSpeech
# Advanced vocabulary for academic and professional contexts
# Advanced Academic & Formal
solicit|General|verb
sporadic|General|adjective
stagnant|General|adjective
staunch|General|adjective
stringent|General|adjective
subordinate|General|adjective
subversive|General|adjective
succinct|General|adjective
superficial|General|adjective
superfluous|General|adjective
surreptitious|General|adjective
susceptible|General|adjective
synergy|General|noun
tantamount|General|adjective
tenacious|General|adjective
tentative|General|adjective
transgression|General|noun
trivial|General|adjective
ubiquitous|General|adjective
unambiguous|General|adjective
undermine|General|verb
unilateral|General|adjective
unscrupulous|General|adjective
unprecedented|General|adjective
unwarranted|General|adjective
uphold|General|verb
utmost|General|adjective
venerable|General|adjective
verbose|General|adjective
versatile|General|adjective
viable|General|adjective
vindicate|General|verb
volatile|General|adjective
volition|General|noun
zealous|General|adjective
# C1 Formal Phrases
all things considered|Common Phrases|phrase
as a consequence|Common Phrases|phrase
at the outset|Common Phrases|phrase
be that as it may|Common Phrases|phrase
by virtue of|Common Phrases|phrase
for all intents and purposes|Common Phrases|phrase
in accordance with|Common Phrases|phrase
in conjunction with|Common Phrases|phrase
in the aftermath of|Common Phrases|phrase
in the wake of|Common Phrases|phrase
notwithstanding|Common Phrases|phrase
on the grounds of|Common Phrases|phrase
to no avail|Common Phrases|phrase
to that end|Common Phrases|phrase
with a view to|Common Phrases|phrase
# C1 Advanced Finance
amortization|Finance|noun
annuity|Finance|noun
arbitrage|Finance|noun
asset allocation|Finance|noun
bear market|Finance|noun
bond|Finance|noun
bull market|Finance|noun
commodities|Finance|noun
compound interest|Finance|noun
credit rating|Finance|noun
debenture|Finance|noun
default|Finance|noun
deflation|Finance|noun
derivative|Finance|noun
diversification|Finance|noun
due diligence|Finance|noun
fiduciary|Finance|adjective
foreclosure|Finance|noun
hedge fund|Finance|noun
index fund|Finance|noun
leverage|Finance|noun
liquidity|Finance|noun
portfolio|Finance|noun
premium|Finance|noun
principal|Finance|noun
securities|Finance|noun
solvency|Finance|noun
volatile market|Finance|noun
yield|Finance|noun
# C1 Advanced Arts & Literature
allegory|Arts|noun
avant-garde|Arts|noun
catharsis|Arts|noun
denouement|Arts|noun
dystopia|Arts|noun
existentialism|Arts|noun
expressionism|Arts|noun
fable|Arts|noun
figurative|Arts|adjective
genre|Arts|noun
gothic|Arts|adjective
haiku|Arts|noun
impressionism|Arts|noun
irony|Arts|noun
juxtaposition|Arts|noun
metaphor|Arts|noun
minimalism|Arts|noun
motif|Arts|noun
muse|Arts|noun
narrative|Arts|noun
neoclassical|Arts|adjective
oeuvre|Arts|noun
parable|Arts|noun
parody|Arts|noun
pathos|Arts|noun
postmodern|Arts|adjective
prose|Arts|noun
protagonist|Arts|noun
realism|Arts|noun
renaissance|Arts|noun
repertoire|Arts|noun
rhetoric|Arts|noun
romanticism|Arts|noun
satire|Arts|noun
soliloquy|Arts|noun
sonnet|Arts|noun
stanza|Arts|noun
subtext|Arts|noun
surrealism|Arts|noun
symbolism|Arts|noun
utopia|Arts|noun
vernacular|Arts|adjective
virtuoso|Arts|noun
# IT & Development (Advanced)
idempotency|IT & Development|noun
concurrency|IT & Development|noun
sharding|IT & Development|noun
denormalization|IT & Development|noun
event-driven architecture|IT & Development|noun
service mesh|IT & Development|noun
blue-green deployment|IT & Development|noun
canary release|IT & Development|noun
immutable infrastructure|IT & Development|noun
observability|IT & Development|noun
zero-trust security|IT & Development|noun
fault tolerance|IT & Development|noun
horizontal scaling|IT & Development|noun
vertical scaling|IT & Development|noun
monolith|IT & Development|noun
# Business Analysis (Advanced)
enterprise architecture|Business Analysis|noun
business process reengineering|Business Analysis|noun
maturity model|Business Analysis|noun
capability mapping|Business Analysis|noun
value stream mapping|Business Analysis|noun
business rules engine|Business Analysis|noun
data governance|Business Analysis|noun
master data management|Business Analysis|noun
requirements repository|Business Analysis|noun
service level agreement|Business Analysis|noun
# Project Management (Advanced)
portfolio management|Project Management|noun
program management|Project Management|noun
benefit realization|Project Management|noun
critical chain method|Project Management|noun
Monte Carlo simulation|Project Management|noun
project management office|Project Management|noun
lesson learned|Project Management|noun
configuration management|Project Management|noun
procurement management|Project Management|noun
integration management|Project Management|noun

abeyance|General|noun
abjure|General|verb
abscond|General|verb
abstain|General|verb
acerbic|General|adjective
acrimony|General|noun
adroit|General|adjective
adulation|General|noun
adversarial|General|adjective
affidavit|General|noun
agnostic|General|adjective
ambivalent|General|adjective
amorphous|General|adjective
anachronism|General|noun
anecdotal|General|adjective
anomalous|General|adjective
antithetical|General|adjective
apocryphal|General|adjective
ascertain|General|verb
assiduous|General|adjective
astute|General|adjective
attrition|Work & Career|noun
auspicious|General|adjective
axiom|General|noun
bastion|General|noun
bifurcate|General|verb
burgeoning|General|adjective
candor|General|noun
canny|General|adjective
capitulation|General|noun
caveat|General|noun
cogent|General|adjective
commodify|Business & Finance|verb
compendium|General|noun
complacent|General|adjective
concomitant|General|adjective
condescending|General|adjective
confound|General|verb
conjectural|General|adjective
consummate|General|adjective
contemplate|General|verb
contentious|General|adjective
contrarian|General|noun
convoluted|General|adjective
counterintuitive|General|adjective
cursory|General|adjective
dearth|General|noun
debunk|General|verb
decimate|General|verb
demystify|General|verb
derogatory|General|adjective
diatribe|General|noun
diffuse|General|verb
dilapidated|General|adjective
dismantle|General|verb
disparate|General|adjective
disseminate|General|verb
ebullience|General|noun
elucidate|General|verb
embellish|General|verb
endemic|Health|adjective
enigmatic|General|adjective
epistemology|General|noun
equivocate|General|verb
erudite|Education|adjective
esoteric|General|adjective
euphemism|General|noun
explicable|General|adjective
exponent|Science|noun
extrapolation|Science|noun
facetious|General|adjective
falter|General|verb
fastidious|General|adjective
filibuster|General|noun
fluctuation|Science|noun
fortuitous|General|adjective
frugal|General|adjective
grandiose|General|adjective
hapless|General|adjective
idiosyncrasy|General|noun
impetuous|General|adjective
impinge|General|verb
implicit|General|adjective
incisive|General|adjective
incongruous|General|adjective
indictment|General|noun
indignant|General|adjective
infer|General|verb
infinitesimal|Science|adjective
intransigent|General|adjective
irreverent|General|adjective
knowledgeable|General|adjective
laconic|General|adjective
largesse|General|noun
loquacious|General|adjective
lucid|General|adjective
ludicrous|General|adjective
magnanimous|General|adjective
malevolent|General|adjective
meticulous|General|adjective
misconstrue|General|verb
momentous|General|adjective
nascent|General|adjective
nebulous|General|adjective
niche|Business & Finance|noun
nominal|General|adjective
nonchalant|General|adjective
nuance|General|noun
obfuscate|General|verb
obligatory|General|adjective
oblique|General|adjective
omnipresent|General|adjective
onerous|General|adjective
outlier|Science|noun
painstaking|General|adjective
paradoxical|General|adjective
partisan|General|adjective
pernicious|General|adjective
polarize|General|verb
pragmatism|General|noun
predicated|General|adjective
prevalent|General|adjective
prodigious|General|adjective
proliferate|General|verb
provocative|General|adjective
putative|General|adjective
quandary|General|noun
querulous|General|adjective
recalcitrant|General|adjective
reductive|General|adjective
reify|General|verb
relinquish|General|verb
resonate|General|verb
retrospective|General|adjective
sanctimonious|General|adjective
serendipity|General|noun
skewed|General|adjective
speculative|Business & Finance|adjective
spurious|General|adjective
steadfast|General|adjective
stipulate|General|verb
tangential|General|adjective
tenuous|General|adjective
terse|General|adjective
truncate|General|verb
unequivocal|General|adjective
vacuous|General|adjective
validate|Science|verb
visceral|General|adjective
vociferously|General|adverb
vulnerable|General|adjective
wary|General|adjective
watershed|General|noun
acuity|General|noun
categorical|General|adjective
circumspect|General|adjective
coalesce|General|verb
connivance|General|noun
consternation|General|noun
diffident|General|adjective
disparage|General|verb
egalitarian|General|adjective
extrapolate|Science|verb
gullible|General|adjective
hubris|General|noun
hyperbole|General|noun
impervious|General|adjective
inalienable|General|adjective
incessant|General|adjective
indict|General|verb
inexorable|General|adjective
lackey|General|noun
litigious|General|adjective
mendacious|General|adjective
moratorium|General|noun
obdurate|General|adjective
obstinate|General|adjective
oxymoron|General|noun
presumptuous|General|adjective
proclivity|General|noun
sanguine|General|adjective
solipsistic|General|adjective
sophistry|General|noun
stalwart|General|adjective
stratify|General|verb
tautology|General|noun
unpredictable|General|adjective
unravel|General|verb
verbatim|General|adverb
vicarious|General|adjective
vitriolic|General|adjective
xenophobia|General|noun
zeitgeist|General|noun

abdication|General|noun
aberrant|General|adjective
abject|General|adjective
abrogate|General|verb
abyss|General|noun
accrue|Business & Finance|verb
acetylene|Science|noun
acquiesce|General|verb
acrimonious|General|adjective
actuarial|Business & Finance|adjective
adamant|General|adjective
aggrieve|General|verb
aloof|General|adjective
anachronistic|General|adjective
analytical|General|adjective
anecdote|General|noun
animosity|General|noun
annexation|General|noun
antagonism|General|noun
antipathy|General|noun
apathetic|General|adjective
apostate|General|noun
appeasement|General|noun
arbitrary|General|adjective
ardent|General|adjective
articulation|General|noun
artifice|General|noun
ascendancy|General|noun
asylum|General|noun
audacious|General|adjective
avarice|General|noun
avert|General|verb
avid|General|adjective
axiomatic|General|adjective
banal|General|adjective
benign|Health|adjective
bias confirmation|General|noun
bleak|General|adjective
brazen|General|adjective
broach|General|verb
burgeon|General|verb
calcified|General|adjective
callous|General|adjective
capricious|General|adjective
cavalier|General|adjective
censure|General|noun
clout|General|noun
coercion|General|noun
cognizant|General|adjective
cohort|General|noun
complacency|General|noun
compulsory|General|adjective
conciliate|General|verb
condone|General|verb
conjecture|General|noun
conscript|General|verb
consensus building|General|noun
contemptible|General|adjective
contrition|General|noun
counterbalance|General|verb
covert operation|General|noun
culpability|General|noun
cynicism|General|noun
daunting|General|adjective
decadent|General|adjective
deception|General|noun
degenerate|General|verb
delusion|General|noun
demure|General|adjective
denounce|General|verb
despondent|General|adjective
devious|General|adjective
dilapidation|General|noun
diligence|General|noun
diminution|General|noun
disaffection|General|noun
discord|General|noun
disingenuous|General|adjective
disparagement|General|noun
dispassionate|General|adjective
dissension|General|noun
divisive|General|adjective
dogmatic|General|adjective
duplicity|General|noun
edict|General|noun
egregious|General|adjective
elusive|General|adjective
embattled|General|adjective
embezzle|Business & Finance|verb
emollient|General|adjective
emphatically|General|adverb
enact|General|verb
encroachment|General|noun
enmity|General|noun
entrenched|General|adjective
equivocal|General|adjective
erratic|General|adjective
estranged|General|adjective
exasperate|General|verb
exorbitant|Business & Finance|adjective
expedient|General|adjective
extravagance|General|noun
fabrication|General|noun
faction|General|noun
ferment|General|noun
ferocity|General|noun
flippant|General|adjective
fluctuate|Business & Finance|verb
fraught|General|adjective
fringe|General|noun
futility|General|noun
garrulous|General|adjective
goading|General|noun
guile|General|noun
gullibility|General|noun
heartrending|General|adjective
heretical|General|adjective
hypocrite|General|noun
idiomatic|General|adjective
idyllic|General|adjective
ignoble|General|adjective
imminent|General|adjective
impotent|General|adjective
imprudent|General|adjective
incendiary|General|adjective
incompetence|General|noun
incremental|General|adjective
indifference|General|noun
indignation|General|noun
inebriated|General|adjective
inept|General|adjective
infantile|General|adjective
inefficacy|General|noun
inflated|General|adjective
inhibition|General|noun
insular|General|adjective
intolerance|General|noun
intractable|General|adjective
irrelevant|General|adjective
justify|General|verb
killjoy|General|noun
lassitude|General|noun
lawlessness|General|noun
lethargic|General|adjective
loathe|General|verb
malice|General|noun
malign|General|verb
maneuver|General|noun
meager|General|adjective
mediocre|General|adjective
mercurial|General|adjective
militant|General|noun
miscalculate|General|verb
misguide|General|verb
mollify|General|verb
morose|General|adjective
nefarious|General|adjective
neurotic|General|adjective
nonchalance|General|noun
notoriety|General|noun
noxious|General|adjective
objectionable|General|adjective
offhand|General|adjective
ominous|General|adjective
oppressive|General|adjective
ostensibly|General|adverb
outrage|General|noun
overweening|General|adjective
overwrought|General|adjective
paradox|General|noun
parochial|General|adjective
pendulous|General|adjective
perfidious|General|adjective
pompous|General|adjective
ponderous|General|adjective
presumption|General|noun
provocation|General|noun
prudence|General|noun
pugnacious|General|adjective
rapacious|General|adjective
reckless|General|adjective
resentment|General|noun
resilient|General|adjective
retaliation|General|noun
rigidity|General|noun
ruthless|General|adjective
scathing|General|adjective
scepticism|General|noun
sedition|General|noun
sinister|General|adjective
sordid|General|adjective
stubbornness|General|noun
subservient|General|adjective
subterfuge|General|noun
suffocating|General|adjective
sycophant|General|noun
thin-skinned|General|adjective
torment|General|noun
totalitarian|General|adjective
treacherous|General|adjective
turbulent|General|adjective
tyranny|General|noun
unyielding|General|adjective
upheaval|General|noun
vehement|General|adjective
vengeance|General|noun
vilify|General|verb
zealot|General|noun

abnegation|General|noun
abstemious|General|adjective
afflatus|General|noun
aleatoric|General|adjective
allocution|General|noun
altercation|General|noun
altruistic|General|adjective
anagnorisis|General|noun
anathematize|General|verb
anchorite|General|noun
animistic|General|adjective
antinomy|General|noun
approbation|General|noun
argot|General|noun
assuage|General|verb
atavism|General|noun
austerity|Business & Finance|noun
banality|General|noun
baroque|General|adjective
bathos|General|noun
bellicose|General|adjective
bespoke|General|adjective
bluster|General|verb
bombastic|General|adjective
callow|General|adjective
caveat emptor|General|phrase
chicanery|General|noun
chimerical|General|adjective
circumlocution|General|noun
civic virtue|General|noun
clamorous|General|adjective
comity|General|noun
complaisant|General|adjective
complicit|General|adjective
conception|General|noun
conciliatory|General|adjective
confabulation|General|noun
conflate|General|verb
conformity|General|noun
contrite|General|adjective
convolution|General|noun
copious|General|adjective
coterie|General|noun
countenance|General|noun
decadence|General|noun
deferential|General|adjective
demotic|General|adjective
dilettante|General|noun
dissonance|General|noun
divergence|General|noun
ebullient|General|adjective
eccentricity|General|noun
embroiled|General|adjective
empiricist|General|noun
encroach|General|verb
euphonious|General|adjective
excoriate|General|verb
expurgate|General|verb
extemporize|General|verb
extirpate|General|verb
exuberance|General|noun
fallacious|General|adjective
fatalistic|General|adjective
feckless|General|adjective
felicitous|General|adjective
genteel|General|adjective
germane|General|adjective
grandiosity|General|noun
harangue|General|noun
hardline|General|adjective
hedonism|General|noun
heterodoxy|General|noun
iconoclasm|General|noun
jejune|General|adjective
jurisprudence|General|noun
malfeasance|General|noun
maudlin|General|adjective
obsequious|General|adjective
pedantic|Education|adjective
petulant|General|adjective
philistine|General|noun
pious|General|adjective
platitude|General|noun
polemical|General|adjective
portentous|General|adjective
probity|General|noun
sardonic|General|adjective
servile|General|adjective
stubborn|General|adjective
vapid|General|adjective
zealotry|General|noun

ablative|General|adjective
abnormality|Health|noun
abrogation|General|noun
absurdist|General|adjective
acarpous|General|adjective
accretion disk|Science|noun
accumulative|General|adjective
acephalous|General|adjective
acerbity|General|noun
acme|General|noun
acosmism|General|noun
actualization|General|noun
adept|General|adjective
adjudicator|General|noun
admonition|General|noun
adulate|General|verb
adversarial system|General|noun
aforementioned|General|adjective
afterthought|General|noun
aggrieved|General|adjective
agnate|General|noun
agonize|General|verb
alacrity|General|noun
alienist|Health|noun
allergen|Health|noun
alluvium|Science|noun
alveolar|Health|adjective
amaranthine|General|adjective
amnesiac|Health|noun
anachronous|General|adjective
analgesia|Health|noun
anarchy|General|noun
anesthetic|Health|noun
animadversion|General|noun
anodyne|General|adjective
antagonize|General|verb
antinomian|General|adjective
anxiolytic|Health|adjective
apartheid|General|noun
aporetic|General|adjective
appellation|General|noun
approbatory|General|adjective
archival|General|adjective
aristocratic|General|adjective
arraign|General|verb
arrant|General|adjective
artful|General|adjective
artisan economy|Work & Career|noun
atavistic|General|adjective
atheistic|General|adjective
atone|General|verb
atonality|General|noun
atrocious|General|adjective
attrite|Work & Career|verb
auspice|General|noun
beatify|General|verb
beguile|General|verb
belittle|General|verb
bequeath|General|verb
besiege|General|verb
betrothal|General|noun
bravado|General|noun
brazenly|General|adverb
brood|General|verb
browbeat|General|verb
buoyancy|General|noun
cachet|General|noun
calumniate|General|verb
capriciousness|General|noun
carping|General|adjective
castigate|General|verb
catalepsy|Health|noun
cathartic|General|adjective
chapfallen|General|adjective
circumscribe|General|verb
clamant|General|adjective
clandestinely|General|adverb
clannish|General|adjective
cleave|General|verb
cogitate|General|verb
colloquy|General|noun
combustible|Science|adjective
commemorative|General|adjective
commiserate|General|verb
complicity|General|noun
conceit|General|noun
conclave|General|noun
condescend|General|verb
confabulate|General|verb
confrontationally|General|adverb
conjugal|General|adjective
consanguineous|General|adjective
contentiously|General|adverb
contingency|General|noun
conventional wisdom|General|noun
corrigible|General|adjective
coruscate|General|verb
credulous|General|adjective
crepuscular|General|adjective
crestfallen|General|adjective
cronyism|General|noun
culpable|General|adjective
dastardly|General|adjective
dauntless|General|adjective
debilitate|Health|verb
decorous|General|adjective
delineation|General|noun
demarcate|General|verb
denigration|General|noun
depredation|General|noun
deracinate|General|verb
despondency|General|noun
destabilize|General|verb
detract|General|verb
devotional|General|adjective
diffidence|General|noun
digressive|General|adjective
dissimulate|General|verb
doctrinaire|General|adjective
dolorous|General|adjective
doyen|General|noun
draconian|General|adjective
duplicitous|General|adjective
earnestness|General|noun
eccentric|General|adjective
effluvium|General|noun
egotism|General|noun
elegy|General|noun
embattlement|General|noun
emblematic|General|adjective
eminence|General|noun
encomiast|General|noun
enervate|General|verb
ennui|General|noun
entreaty|General|noun
eon|General|noun
epigram|General|noun
equanimity|General|noun
errant|General|adjective
establish|General|verb
excoriation|General|noun
exhort|General|verb
existential|General|adjective
expeditious|General|adjective
explicitly|General|adverb
expunge|General|verb
extenuate|General|verb
fabricator|General|noun
fallible|General|adjective
farce|General|noun
faultless|General|adjective
feign|General|verb
felonious|General|adjective
fervor|General|noun
fiend|General|noun
finicky|General|adjective
flit|General|verb
flounder|General|verb
foment|General|verb
forebear|General|verb
fortitude|General|noun
fraudulent|General|adjective
fulsome|General|adjective
furtive|General|adjective
garrulousness|General|noun
germinal|General|adjective
ghastly|General|adjective
glaciation|Science|noun
glib|General|adjective
glower|General|verb
grave|General|adjective
harsh|General|adjective
hasten|General|verb
haughty|General|adjective
heady|General|adjective
heavyhanded|General|adjective
hedonist|General|noun
histrionic|General|adjective
hollow|General|adjective
hostile|General|adjective
imperious|General|adjective
implicature|General|noun
impugn|General|verb
incautious|General|adjective
inconsequential|General|adjective
indoctrinate|General|verb
inertia|Science|noun
infantilize|General|verb
inimical|General|adjective
inquisition|General|noun
intransigence|General|noun
invaluable|General|adjective
irrational|General|adjective
irreconcilable|General|adjective
irreproachable|General|adjective
jettison|General|verb
kafkaesque|General|adjective
languish|General|verb
laud|General|verb
lavish|General|adjective
leonine|General|adjective
levity|General|noun
licentious|General|adjective
livid|General|adjective
loath|General|adjective
machination|General|noun
magniloquent|General|adjective
malcontent|General|noun
maleficent|General|adjective
malodorous|General|adjective
martinet|General|noun
megalomaniac|General|noun
meritocratic|General|adjective
militia|General|noun
misanthrope|General|noun
misguided|General|adjective
moribund|General|adjective
mutable|General|adjective
myopia|Health|noun
nihilistic|General|adjective
non-committal|General|adjective
obliterate|General|verb
obtuse|General|adjective
officious|General|adjective
oligarchic|General|adjective
ominously|General|adverb
opacity|General|noun
opprobrium|General|noun
oratory|General|noun
ostracize|General|verb
outspoken|General|adjective
overbearing|General|adjective
paternalistic|General|adjective
peasantry|General|noun
petulance|General|noun
philistinism|General|noun
pigheaded|General|adjective
platitudinous|General|adjective
plebeian|General|noun
pliant|General|adjective
plunder|General|verb
polemicize|General|verb
pomposity|General|noun
portend|General|verb
potentate|General|noun
predatory|General|adjective
pretension|General|noun
primitiveness|General|noun
priggish|General|adjective
probative|General|adjective
profligate|General|adjective
prognosticate|General|verb
promulgate|General|verb
propitiate|General|verb
protean|General|adjective
providential|General|adjective
provocateur|General|noun
puerility|General|noun
punctilious|General|adjective
quixotism|General|noun
reactionary|General|adjective
rebuff|General|verb
recalcitrance|General|noun
recriminate|General|verb
redolent|General|adjective
remonstrate|General|verb
renege|General|verb
repudiation|General|noun
resentful|General|adjective
resigned|General|adjective
restive|General|adjective
reticent|General|adjective
retrogressive|General|adjective
ribald|General|adjective
risible|General|adjective
self-aggrandizement|General|noun
self-righteous|General|adjective
serene|General|adjective
shrewd|General|adjective
skeptic|General|noun
slander|General|noun
slavish|General|adjective
snobbish|General|adjective
sophistic|General|adjective
specious|General|adjective
startle|General|verb
steadfastness|General|noun
stentorian|General|adjective
stilted|General|adjective
strident|General|adjective
stupefy|General|verb
subvert|General|verb
sullen|General|adjective
supercilious|General|adjective
swaggering|General|adjective
taciturn|General|adjective
tendentious|General|adjective
tenebrous|General|adjective
timid|General|adjective
tiresome|General|adjective
torpid|General|adjective
torturous|General|adjective
treachery|General|noun
turgid|General|adjective
tyrannical|General|adjective
unrelenting|General|adjective
usurp|General|verb
vacillate|General|verb
vainglory|General|noun
venerate|General|verb
wavering|General|adjective
wily|General|adjective
xenophobic|General|adjective

abjection|General|noun
abscission|Science|noun
abstruseness|General|noun
acerbic wit|General|noun
acidulous|General|adjective
actionable intelligence|General|noun
acute dialectic|General|noun
adamantine|General|adjective
adjuvant|Health|adjective
adumbrate|General|verb
adventitious|General|adjective
aegrotat|Education|noun
aesthesia|General|noun
affectation|General|noun
afterword|General|noun
agitprop|General|noun
agnosticism|General|noun
agrestic|General|adjective
algolagnia|General|noun
alienation|General|noun
allegorical|General|adjective
allure|General|noun
alphanominal|Education|adjective
altercate|General|verb
amour propre|General|noun
anacreontic|General|adjective
anaphora|Education|noun
ancillary|General|adjective
andragogy|Education|noun
anemophilous|Science|adjective
anodization|Science|noun
antagonistically|General|adverb
antecedent|General|noun
anti-positivist|General|adjective
antinomic|General|adjective
antiquarianism|General|noun
aphoristic|General|adjective
apparent paradox|General|noun
apposition|Education|noun
arcane knowledge|General|noun
ardour|General|noun
arrogance|General|noun
asceticism|General|noun
aspersion|General|noun
assertion|General|noun
assonance|General|noun
assize|General|noun
astriction|General|noun
atrophic|Health|adjective
austral|Science|adjective
aversive|General|adjective
balderdash|General|noun
banishment|General|noun
bashfulness|General|noun
bellicosity|General|noun
bemoan|General|verb
berate|General|verb
betray|General|verb
bilious|General|adjective
blandish|General|verb
blase|General|adjective
blighted|General|adjective
boorish|General|adjective
brachycephalic|Science|adjective
brusque|General|adjective
bumble|General|verb
cajole|General|verb
camaraderie|General|noun
captious|General|adjective
censorious|General|adjective
cerebration|General|noun
circuitous|General|adjective
clamber|General|verb
clarion|General|noun
cloying|General|adjective
cob|General|noun
cogency|General|noun
cold comfort|General|noun
come-uppance|General|noun
commodious|General|adjective
conceptual framework|General|noun
condign|General|adjective
condescension|General|noun
conniving|General|adjective
constraintment|General|noun
contumelious|General|adjective
convivial|General|adjective
corporal punishment|General|noun
craven|General|adjective
cultural hegemony|General|noun
cupidity|General|noun
curtailment|General|noun
daffy|General|adjective
daydream|General|verb
decry|General|verb
defection|General|noun
deleterious|General|adjective
delicate|General|adjective
deliberative|General|adjective
demagogy|General|noun
