# B2 - Upper Intermediate Level Words (CEFR B2)
# Format: english|category|partOfSpeech
# Upper intermediate vocabulary for fluent communication
# Academic & Intellectual
mandate|General|noun
manifest|General|noun
manipulate|General|verb
mature|General|adjective
mediate|General|verb
methodology|General|noun
migrate|General|verb
monetary|General|adjective
monopoly|General|noun
motive|General|noun
municipal|General|adjective
navigate|General|verb
norm|General|noun
notion|General|noun
nuance|General|noun
nuclear|General|adjective
obligation|General|noun
obscure|General|adjective
offset|General|verb
ongoing|General|adjective
optimal|General|adjective
orient|General|verb
orthodox|General|adjective
oscillate|General|verb
overlap|General|verb
paradigm|General|noun
paradox|General|noun
parameter|General|noun
parallel|General|adjective
passive|General|adjective
pathology|General|noun
penetrate|General|verb
perpetual|General|adjective
petition|General|noun
pioneer|General|noun
plateau|General|noun
plausible|General|adjective
pledge|General|noun
polarize|General|verb
pose|General|verb
pragmatic|General|adjective
precaution|General|noun
precedent|General|noun
predominant|General|adjective
preliminary|General|adjective
premise|General|noun
prevail|General|verb
privilege|General|noun
procurement|General|noun
profound|General|adjective
prohibition|General|noun
projection|General|noun
prominent|General|adjective
propaganda|General|noun
prosperity|General|noun
protocol|General|noun
provoke|General|verb
quota|General|noun
ratify|General|verb
rationale|General|noun
realm|General|noun
reconcile|General|verb
referendum|General|noun
regime|General|noun
reinforce|General|verb
reluctance|General|noun
remedy|General|noun
render|General|verb
repeal|General|verb
replicate|General|verb
resolution|General|noun
restrain|General|verb
revelation|General|noun
rhetoric|General|noun
rigid|General|adjective
ritual|General|noun
robust|General|adjective
sanction|General|noun
scenario|General|noun
scope|General|noun
scrutiny|General|noun
secular|General|adjective
segment|General|noun
simulate|General|verb
skeptical|General|adjective
solidarity|General|noun
sovereign|General|adjective
specification|General|noun
spectrum|General|noun
sphere|General|noun
spontaneous|General|adjective
stimulus|General|noun
subordinate|General|adjective
subsidize|General|verb
supplement|General|noun
suppress|General|verb
surveillance|General|noun
synthesis|General|noun
tangible|General|adjective
tactic|General|noun
thesis|General|noun
threshold|General|noun
tolerance|General|noun
toxic|General|adjective
transaction|General|noun
transformation|General|noun
transparent|General|adjective
tremendous|General|adjective
tribunal|General|noun
turbulent|General|adjective
unanimous|General|adjective
undermine|General|verb
unprecedented|General|adjective
upheaval|General|noun
validity|General|noun
variable|General|noun
venture|General|noun
verify|General|verb
vigor|General|noun
violation|General|noun
volatile|General|adjective
# B2 Advanced Emotions & Psychology
alienation|Emotions|noun
ambivalence|Emotions|noun
apprehension|Emotions|noun
bewilderment|Emotions|noun
bitterness|Emotions|noun
bliss|Emotions|noun
complacency|Emotions|noun
compulsion|Emotions|noun
contempt|Emotions|noun
cynicism|Emotions|noun
defiance|Emotions|noun
delusion|Emotions|noun
despair|Emotions|noun
devotion|Emotions|noun
dilemma|Emotions|noun
discomfort|Emotions|noun
disdain|Emotions|noun
dismay|Emotions|noun
distress|Emotions|noun
ecstasy|Emotions|noun
ego|Emotions|noun
elation|Emotions|noun
endurance|Emotions|noun
euphoria|Emotions|noun
exhilaration|Emotions|noun
fulfillment|Emotions|noun
fury|Emotions|noun
gratification|Emotions|noun
guilt|Emotions|noun
humiliation|Emotions|noun
hysteria|Emotions|noun
impulse|Emotions|noun
indifference|Emotions|noun
indignation|Emotions|noun
insecurity|Emotions|noun
instinct|Emotions|noun
intimidation|Emotions|noun
intuition|Emotions|noun
jealousy|Emotions|noun
melancholy|Emotions|noun
morale|Emotions|noun
obsession|Emotions|noun
paranoia|Emotions|noun
resentment|Emotions|noun
restlessness|Emotions|noun
sentiment|Emotions|noun
serenity|Emotions|noun
skepticism|Emotions|noun
solitude|Emotions|noun
sorrow|Emotions|noun
spite|Emotions|noun
trauma|Emotions|noun
turmoil|Emotions|noun
vanity|Emotions|noun
vulnerability|Emotions|noun
wrath|Emotions|noun
yearning|Emotions|noun
zeal|Emotions|noun
# B2 Business & Economics
audit|Work|noun
bankruptcy|Work|noun
benchmark|Work|noun
bid|Work|noun
blueprint|Work|noun
broker|Work|noun
capital|Work|noun
commodity|Work|noun
conglomerate|Work|noun
consortium|Work|noun
contingency|Work|noun
corporate|Work|adjective
deficit|Work|noun
depreciation|Work|noun
diversification|Work|noun
dividend|Work|noun
downsizing|Work|noun
entrepreneur|Work|noun
equity|Work|noun
expenditure|Work|noun
fiscal|Work|adjective
franchise|Work|noun
gross|Work|adjective
inflation|Work|noun
inventory|Work|noun
joint venture|Work|noun
liability|Work|noun
liquidation|Work|noun
logistics|Work|noun
margin|Work|noun
merger|Work|noun
net|Work|adjective
outsourcing|Work|noun
overhead|Work|noun
payroll|Work|noun
recession|Work|noun
redundancy|Work|noun
restructuring|Work|noun
revenue|Work|noun
shareholder|Work|noun
speculation|Work|noun
stakeholder|Work|noun
startup|Work|noun
subsidy|Work|noun
surplus|Work|noun
tariff|Work|noun
turnover|Work|noun
venture capital|Work|noun
wholesale|Work|adjective
# B2 Law & Governance
amendment|Law|noun
asylum|Law|noun
bail|Law|noun
bilateral|Law|adjective
clause|Law|noun
coalition|Law|noun
compliance|Law|noun
corruption|Law|noun
decree|Law|noun
defendant|Law|noun
extradition|Law|noun
immunity|Law|noun
indictment|Law|noun
legislation|Law|noun
litigation|Law|noun
magistrate|Law|noun
misconduct|Law|noun
negligence|Law|noun
parole|Law|noun
plaintiff|Law|noun
plea|Law|noun
prosecution|Law|noun
regulation|Law|noun
statute|Law|noun
subpoena|Law|noun
testimony|Law|noun
treaty|Law|noun
verdict|Law|noun
warrant|Law|noun
# B2 Technology & Digital
algorithm|Technology|noun
analytics|Technology|noun
automation|Technology|noun
bandwidth|Technology|noun
biometric|Technology|adjective
blockchain|Technology|noun
broadband|Technology|noun
cache|Technology|noun
cloud computing|Technology|noun
coding|Technology|noun
cryptocurrency|Technology|noun
cybersecurity|Technology|noun
debugging|Technology|noun
decryption|Technology|noun
digital footprint|Technology|noun
encryption|Technology|noun
firewall|Technology|noun
firmware|Technology|noun
interface|Technology|noun
malware|Technology|noun
metadata|Technology|noun
nanotechnology|Technology|noun
open source|Technology|noun
phishing|Technology|noun
pixel|Technology|noun
platform|Technology|noun
processor|Technology|noun
quantum computing|Technology|noun
ransomware|Technology|noun
scalability|Technology|noun
semiconductor|Technology|noun
simulation|Technology|noun
streaming|Technology|noun
synchronization|Technology|noun
virtualization|Technology|noun
# B2 Advanced Science
anthropology|Science|noun
archaeology|Science|noun
astronomy|Science|noun
biochemistry|Science|noun
biotechnology|Science|noun
botany|Science|noun
chromosome|Science|noun
clinical trial|Science|noun
combustion|Science|noun
compound|Science|noun
condensation|Science|noun
conductor|Science|noun
contamination|Science|noun
correlation|Science|noun
decomposition|Science|noun
deduction|Science|noun
diffusion|Science|noun
dilution|Science|noun
dimension|Science|noun
distillation|Science|noun
electrode|Science|noun
electron|Science|noun
enzyme|Science|noun
equilibrium|Science|noun
evaporation|Science|noun
fission|Science|noun
fusion|Science|noun
genetics|Science|noun
geology|Science|noun
isotope|Science|noun
kinetics|Science|noun
metabolism|Science|noun
mutation|Science|noun
neuron|Science|noun
neutron|Science|noun
nucleus|Science|noun
oxidation|Science|noun
pathogen|Science|noun
phenomenon|Science|noun
photon|Science|noun
polymer|Science|noun
proton|Science|noun
quantum|Science|noun
radioactive|Science|adjective
relativity|Science|noun
synthetic|Science|adjective
theorem|Science|noun
thermodynamics|Science|noun
toxin|Science|noun
vaccine|Science|noun
zoology|Science|noun
# B2 Medicine & Health
addiction|Health|noun
allergen|Health|noun
antibody|Health|noun
antibiotic|Health|noun
artery|Health|noun
autoimmune|Health|adjective
benign|Health|adjective
biopsy|Health|noun
cardiac|Health|adjective
catheter|Health|noun
chemotherapy|Health|noun
cholesterol|Health|noun
clinical|Health|adjective
concussion|Health|noun
contagious|Health|adjective
dehydration|Health|noun
diagnosis|Health|noun
dialysis|Health|noun
disorder|Health|noun
dosage|Health|noun
epidemic|Health|noun
gland|Health|noun
hormone|Health|noun
immune system|Health|noun
inflammation|Health|noun
malignant|Health|adjective
membrane|Health|noun
organ transplant|Health|noun
pandemic|Health|noun
physiotherapy|Health|noun
placebo|Health|noun
prognosis|Health|noun
prosthesis|Health|noun
psychiatric|Health|adjective
radiology|Health|noun
rehabilitation|Health|noun
remission|Health|noun
sedative|Health|adjective
syndrome|Health|noun
therapy|Health|noun
tumor|Health|noun
ultrasound|Health|noun
vaccination|Health|noun
# B2 Advanced Phrases
as opposed to|Common Phrases|phrase
at the expense of|Common Phrases|phrase
bear in mind|Common Phrases|phrase
by all means|Common Phrases|phrase
come to terms with|Common Phrases|phrase
for the time being|Common Phrases|phrase
get to grips with|Common Phrases|phrase
go hand in hand|Common Phrases|phrase
have a say|Common Phrases|phrase
in a nutshell|Common Phrases|phrase
in light of|Common Phrases|phrase
in the long run|Common Phrases|phrase
make up for|Common Phrases|phrase
not to mention|Common Phrases|phrase
on the grounds that|Common Phrases|phrase
prior to|Common Phrases|phrase
take into account|Common Phrases|phrase
to a certain extent|Common Phrases|phrase
with regard to|Common Phrases|phrase
with the exception of|Common Phrases|phrase
# IT & Development (Upper Intermediate)
refactoring|IT & Development|noun
polymorphism|IT & Development|noun
inheritance|IT & Development|noun
abstraction|IT & Development|noun
design pattern|IT & Development|noun
continuous integration|IT & Development|noun
continuous deployment|IT & Development|noun
DevOps|IT & Development|noun
orchestration|IT & Development|noun
load balancing|IT & Development|noun
caching|IT & Development|noun
indexing|IT & Development|noun
middleware|IT & Development|noun
SDK|IT & Development|noun
technical debt|IT & Development|noun
regression|IT & Development|noun
unit test|IT & Development|noun
integration test|IT & Development|noun
code review|IT & Development|noun
pull request|IT & Development|noun
# Business Analysis (Upper Intermediate)
stakeholder analysis|Business Analysis|noun
business case|Business Analysis|noun
requirements elicitation|Business Analysis|noun
traceability matrix|Business Analysis|noun
process mapping|Business Analysis|noun
value proposition|Business Analysis|noun
cost-benefit analysis|Business Analysis|noun
impact analysis|Business Analysis|noun
change management|Business Analysis|noun
business intelligence|Business Analysis|noun
market research|Business Analysis|noun
competitive analysis|Business Analysis|noun
user acceptance testing|Business Analysis|noun
functional requirement|Business Analysis|noun
non-functional requirement|Business Analysis|noun
# Project Management (Upper Intermediate)
earned value|Project Management|noun
work breakdown structure|Project Management|noun
Gantt chart|Project Management|noun
project scope|Project Management|noun
scope creep|Project Management|noun
resource allocation|Project Management|noun
risk mitigation|Project Management|noun
project baseline|Project Management|noun
velocity|Project Management|noun
burndown chart|Project Management|noun
product owner|Project Management|noun
scrum master|Project Management|noun
release planning|Project Management|noun
iteration|Project Management|noun
project governance|Project Management|noun

abide|General|verb
aggravate|Health|verb
allege|General|verb
ambiguous|General|adjective
amplify|General|verb
analogous|General|adjective
anticipate|General|verb
appraise|Business & Finance|verb
assert|General|verb
buoyant|Business & Finance|adjective
calibrate|Science|verb
capitulate|General|verb
certify|Work & Career|verb
clarification|General|noun
coerce|General|verb
comprise|General|verb
concise|General|adjective
confidential|Work & Career|adjective
confront|General|verb
conjecture|General|noun
contend|General|verb
context|General|noun
contractual|Work & Career|adjective
correlate|Science|verb
counterfeit|Business & Finance|adjective
counterpart|General|noun
credibility|General|noun
critique|General|noun
culminate|General|verb
defer|General|verb
delegate|Work & Career|verb
designated|Work & Career|adjective
diagnose|Health|verb
differentiate|General|verb
dispatch|General|verb
divert|General|verb
enormous|General|adjective
enterprise|Business & Finance|noun
enumerate|General|verb
exemplify|General|verb
extrapolate|Science|verb
facilitate|General|verb
forthcoming|General|adjective
foster|General|verb
globally|General|adverb
heritage|General|noun
identify|General|verb
illustrate|General|verb
inherent|General|adjective
innovate|General|verb
insight|General|noun
interconnected|General|adjective
interim|General|adjective
justify|General|verb
lateral|General|adjective
mitigate|General|verb
mutual|General|adjective
narrative|General|noun
negotiate|Business & Finance|verb
nevertheless|General|adverb
nomenclature|Science|noun
objective|General|noun
obsolete|Technology|adjective
optimize|Technology|verb
oversight|Work & Career|noun
perceive|General|verb
perspective|General|noun
portfolio|Business & Finance|noun
proactive|Work & Career|adjective
procedure|General|noun
proficiency|Education|noun
prototype|Technology|noun
scrutinize|General|verb
sequential|General|adjective
sophisticated|General|adjective
stimulate|General|verb
subsequent|General|adjective
sustainable|Science|adjective
technicality|General|noun
tentative|General|adjective
validate|General|verb
viable|General|adjective
legislative|General|adjective
quantify|Science|verb
regulatory|General|adjective
remediate|Health|verb
accountability|Work & Career|noun
anomaly|Science|noun
catalyst|Science|noun
coherence|General|noun
complexity|General|noun
curriculum|Education|noun
demographics|General|noun
deployment|IT & Development|noun
escalate|General|verb
geopolitical|General|adjective
holistic|General|adjective
incentivize|Business & Finance|verb
mainstream|General|adjective
micromanage|Work & Career|verb
nominal|General|adjective
perpetuate|General|verb
recurrence|Health|noun
resilience|General|noun
scalable|Technology|adjective
taxonomy|Science|noun
trajectory|General|noun
urbanization|General|noun
versatile|General|adjective
data breach|IT & Development|noun
due diligence|Business & Finance|noun
innovation hub|Business & Finance|noun
key performance indicator|Work & Career|noun
market share|Business & Finance|noun
monetize|Business & Finance|verb
net profit|Business & Finance|noun
offshore|Business & Finance|adjective
risk assessment|Work & Career|noun
supply chain|Business & Finance|noun
agile methodology|Project Management|noun
intellectual property|Business & Finance|noun
capital expenditure|Business & Finance|noun
cost-effective|Business & Finance|adjective
operational efficiency|Work & Career|noun
profit margin|Business & Finance|noun
competitive advantage|Business & Finance|noun
return on investment|Business & Finance|noun
market penetration|Business & Finance|noun
business model|Business & Finance|noun
brand equity|Business & Finance|noun
consumer behavior|Business & Finance|noun
demographic shift|General|noun
economic downturn|Business & Finance|noun
fiscal policy|Business & Finance|noun
gross domestic product|Business & Finance|noun
monetary policy|Business & Finance|noun
trade deficit|Business & Finance|noun
economic stimulus|Business & Finance|noun
inflation rate|Business & Finance|noun
interest rate|Business & Finance|noun
nominal value|Business & Finance|noun
stock exchange|Business & Finance|noun
financial audit|Business & Finance|noun
cash flow|Business & Finance|noun
balance sheet|Business & Finance|noun
financial leverage|Business & Finance|noun
accounts receivable|Business & Finance|noun
credit score|Business & Finance|noun
debt restructuring|Business & Finance|noun
hedge fund|Business & Finance|noun
mortgage|Business & Finance|noun
mutual fund|Business & Finance|noun
investment portfolio|Business & Finance|noun
asset allocation|Business & Finance|noun
amortization|Business & Finance|noun
dividends|Business & Finance|noun
earnings per share|Business & Finance|noun
operating income|Business & Finance|noun
working capital|Business & Finance|noun
net worth|Business & Finance|noun
liquidity|Business & Finance|noun
solvency|Business & Finance|noun
bond yield|Business & Finance|noun
equity stake|Business & Finance|noun
fiscal year|Business & Finance|noun
gross profit|Business & Finance|noun
overhead costs|Business & Finance|noun
variable cost|Business & Finance|noun
fixed cost|Business & Finance|noun
break-even point|Business & Finance|noun
revenue growth|Business & Finance|noun
market capitalization|Business & Finance|noun
economic indicator|Business & Finance|noun
financial forecast|Business & Finance|noun
quarterly report|Business & Finance|noun
tax liability|Business & Finance|noun
tax exemption|Business & Finance|noun
depreciation rate|Business & Finance|noun
payment gateway|IT & Development|noun
digital wallet|Technology|noun
decentralized finance|IT & Development|noun
smart contract|IT & Development|noun

abdicate|General|verb
acclimatize|General|verb
accrual|Business & Finance|noun
actualize|General|verb
adaptive|General|adjective
adjudicate|General|verb
alienate|General|verb
altruistic|General|adjective
amalgamate|Business & Finance|verb
anachronism|General|noun
antecedent|General|noun
apathy|General|noun
approbation|General|noun
arbitrate|Business & Finance|verb
arcane|General|adjective
assimilate|General|verb
asymmetry|Science|noun
attrition|Work & Career|noun
authoritarian|General|adjective
aversion|General|noun
benevolent|General|adjective
brevity|General|noun
candid|General|adjective
capacity|General|noun
causation|Science|noun
centralization|General|noun
circuitous|General|adjective
circumspect|General|adjective
civil liberties|General|noun
clandestine|General|adjective
coercion|General|noun
collateral|Business & Finance|noun
collective bargaining|Work & Career|noun
commodification|Business & Finance|noun
complicity|General|noun
comprehensive|General|adjective
concession|General|noun
condescending|General|adjective
confidentiality|Work & Career|noun
confrontational|General|adjective
congruence|General|noun
constituency|General|noun
contestation|General|noun
convolution|General|noun
corporate governance|Business & Finance|noun
counterproductive|General|adjective
covert|General|adjective
credulous|General|adjective
decentralization|General|noun
delineation|General|noun
demarcation|Work & Career|noun
dependency ratio|Business & Finance|noun
deregulation|Business & Finance|noun
desensitize|General|verb
determinism|General|noun
devolution|General|noun
differential|Business & Finance|noun
discern|General|verb
disinformation|General|noun
disparity|General|noun
dissonance|General|noun
divergence|General|noun
dogma|General|noun
dualism|General|noun
ecological|Science|adjective
economic disparity|Business & Finance|noun
efficacy|General|noun
egalitarian|General|adjective
empower|General|verb
encapsulate|General|verb
endemic|Health|adjective
engineering|Technology|noun
entitlement|General|noun
epitome|General|noun
ethical consumerism|General|noun
exclusivity|General|noun
exemplary|General|adjective
exponential|Science|adjective
extinction risk|Science|noun
extraneous|General|adjective
far-reaching|General|adjective
formidable|General|adjective
fractured|General|adjective
fundamental right|General|noun
geopolitics|General|noun
governance|General|noun
groundwork|General|noun
ideological|General|adjective
illicit|General|adjective
immutable|General|adjective
implementation|General|noun
implicit bias|General|noun
inadvertent|General|adjective
incoherent|General|adjective
inconsistency|General|noun
indeterminate|General|adjective
inequitable|General|adjective
informal economy|Business & Finance|noun
intercultural|General|adjective
interdisciplinary|Education|adjective
intrinsic|General|adjective
intuitive|General|adjective
irrefutable|General|adjective
iterative|Technology|adjective
judicial|General|adjective
justification|General|noun
lexical|Education|adjective
linguistic|Education|adjective
marginalization|General|noun
meritocracy|General|noun
meticulous|General|adjective
microcosm|General|noun
misnomer|General|noun
moderation|General|noun
momentum|Science|noun
morality|General|noun
multifaceted|General|adjective
neutralize|General|verb
nonconformist|General|noun
normative|General|adjective
nuanced|General|adjective
obsolescence|Technology|noun
operational|Work & Career|adjective
ostracism|General|noun
overarching|General|adjective
partisan|General|noun
pedagogy|Education|noun
pertinent|General|adjective
polarization|General|noun
precedence|General|noun
predisposition|General|noun
prerogative|General|noun
prohibitive|General|adjective
proliferation|Science|noun
proportional|General|adjective
rigorous|General|adjective
safeguard|General|verb
scarcity|Business & Finance|noun
sovereignty|General|noun
stagnation|Business & Finance|noun
stipulate|General|verb
subjective|General|adjective
subsidiary|Business & Finance|noun
subtlety|General|noun
susceptibility|Health|noun
symbolic|General|adjective
technocracy|General|noun
tenacity|General|noun
theoretical|General|adjective
transparency|General|noun
ubiquity|General|noun
universal|General|adjective
unstructured|General|adjective
utilitarian|General|adjective
vested interest|Business & Finance|noun
viability|General|noun
vigilance|General|noun
accountability framework|Work & Career|noun
adaptive capacity|Science|noun
advanced analytics|Technology|noun
agile project|Project Management|noun
analytical framework|Business Analysis|noun
audience segmentation|Business & Finance|noun
behavioral economics|Business & Finance|noun
brand positioning|Business & Finance|noun
business continuity|Work & Career|noun
cloud architecture|IT & Development|noun
cognitive bias|General|noun
competitive landscape|Business & Finance|noun
conflict of interest|Work & Career|noun
consumer psychology|Business & Finance|noun
content strategy|Business & Finance|noun
continuous delivery|IT & Development|noun
corporate social responsibility|Business & Finance|noun
critical path|Project Management|noun
cross-functional|Work & Career|adjective
customer lifecycle|Business & Finance|noun
data analytics|Technology|noun
decision tree|Business Analysis|noun
demand forecasting|Business & Finance|noun
digital transformation|Technology|noun
disruptive innovation|Business & Finance|noun
distributed team|Work & Career|noun
economic mobility|Business & Finance|noun
emotional intelligence|Work & Career|noun
employee engagement|Work & Career|noun
financial modeling|Business & Finance|noun
go-to-market|Business & Finance|adjective
human capital|Business & Finance|noun
impact investing|Business & Finance|noun
inclusive design|Technology|noun
information architecture|IT & Development|noun
integrated marketing|Business & Finance|noun
key stakeholder|Business Analysis|noun
lean management|Project Management|noun
loss aversion|Business & Finance|noun
machine learning|IT & Development|noun
minimum viable product|IT & Development|noun
net promoter score|Business & Finance|noun
organizational behavior|Work & Career|noun
performance metrics|Work & Career|noun
predictive modeling|Business Analysis|noun
product roadmap|Project Management|noun
project lifecycle|Project Management|noun
qualitative research|Business Analysis|noun
quantitative analysis|Business Analysis|noun
return on equity|Business & Finance|noun
risk appetite|Business & Finance|noun
scrum framework|Project Management|noun
six sigma|Project Management|noun
strategic planning|Business & Finance|noun
talent acquisition|Work & Career|noun
total cost of ownership|Business & Finance|noun
unit economics|Business & Finance|noun
user persona|Business Analysis|noun
value stream|Project Management|noun
workforce planning|Work & Career|noun
zero-based budgeting|Business & Finance|noun

abatement|Science|noun
abrogation|General|noun
accession|General|noun
acrimony|General|noun
actuarial risk|Business & Finance|noun
adduced|General|adjective
adversarial|General|adjective
affinity bias|Work & Career|noun
agnosticism|General|noun
allegory|General|noun
alliteration|Education|noun
analepsis|General|noun
ancillary|General|adjective
anecdotal evidence|Science|noun
annexation|General|noun
antagonistic|General|adjective
antithesis|General|noun
aperture|Science|noun
apologist|General|noun
appellate|General|adjective
applied ethics|General|noun
appreciative inquiry|Work & Career|noun
archetype|General|noun
arduous|General|adjective
argumentative|General|adjective
arity|IT & Development|noun
assertiveness|Work & Career|noun
asset management|Business & Finance|noun
asymmetric information|Business & Finance|noun
attrition rate|Work & Career|noun
audacity|General|noun
austerity|Business & Finance|noun
backdating|Business & Finance|noun
bail-out|Business & Finance|noun
baseline|Business Analysis|noun
behavioral analytics|Business Analysis|noun
benchmarking|Business Analysis|noun
bilateral agreement|Business & Finance|noun
bottleneck|Project Management|noun
branding strategy|Business & Finance|noun
break-even analysis|Business & Finance|noun
budgetary|Business & Finance|adjective
call option|Business & Finance|noun
capital gains|Business & Finance|noun
carbon credit|Science|noun
categorical imperative|General|noun
causal inference|Science|noun
chain of command|Work & Career|noun
charter|General|noun
checking account|Business & Finance|noun
civil disobedience|General|noun
claim settlement|Business & Finance|noun
class action|General|noun
cognitive dissonance|General|noun
collusion|Business & Finance|noun
commercial viability|Business & Finance|noun
compounding interest|Business & Finance|noun
conceptual|General|adjective
conditionality|Business & Finance|noun
consequentialism|General|noun
consumer sovereignty|Business & Finance|noun
contractarianism|General|noun
controlled trial|Science|noun
convexity|Science|noun
cooperative|Business & Finance|noun
correlation coefficient|Science|noun
cost overrun|Project Management|noun
counterfactual|General|noun
coupon rate|Business & Finance|noun
covariance|Science|noun
creditor|Business & Finance|noun
critical infrastructure|Technology|noun
cross-examination|General|noun
current ratio|Business & Finance|noun
customer acquisition|Business & Finance|noun
data governance|IT & Development|noun
dead weight loss|Business & Finance|noun
debtor|Business & Finance|noun
decentralized|General|adjective
decision framework|Business Analysis|noun
deductible|Business & Finance|noun
default risk|Business & Finance|noun
deficit financing|Business & Finance|noun
demand elasticity|Business & Finance|noun
democratic deficit|General|noun
deployment pipeline|IT & Development|noun
deprecation|Technology|noun
derivative|Business & Finance|noun
developmental|General|adjective
deviant|General|adjective
dialectical materialism|General|noun
diminishing returns|Business & Finance|noun
diplomatic immunity|General|noun
disintermediation|Business & Finance|noun
disruptive technology|Technology|noun
distributed ledger|IT & Development|noun
dollar cost averaging|Business & Finance|noun
downside risk|Business & Finance|noun
due diligence checklist|Business & Finance|noun
dynamic pricing|Business & Finance|noun
earnings yield|Business & Finance|noun
economic rent|Business & Finance|noun
effective rate|Business & Finance|noun
elective|General|adjective
emerging market|Business & Finance|noun
eminent domain|General|noun
empirical study|Science|noun
enclave|General|noun
endogeneity|Science|noun
enterprise risk|Business & Finance|noun
environmental audit|Science|noun
equity premium|Business & Finance|noun
escrow|Business & Finance|noun
ethical sourcing|Business & Finance|noun
evolutionary biology|Science|noun
excess capacity|Business & Finance|noun
exclusive dealing|Business & Finance|noun
executable|IT & Development|adjective
exhaustible|Science|adjective
expansionary|Business & Finance|adjective
expedite|Work & Career|verb
externality|Business & Finance|noun
factor analysis|Business Analysis|noun
feasibility study|Business & Finance|noun
federal reserve|Business & Finance|noun
fiduciary duty|Business & Finance|noun
financial derivative|Business & Finance|noun
financial engineering|Business & Finance|noun
first mover advantage|Business & Finance|noun
fixed-rate mortgage|Business & Finance|noun
floating rate|Business & Finance|noun
flow of funds|Business & Finance|noun
force majeure|Business & Finance|noun
forensic accounting|Business & Finance|noun
forward contract|Business & Finance|noun
framing effect|General|noun
game theory|Business & Finance|noun
gender pay gap|Work & Career|noun
general ledger|Business & Finance|noun
geospatial|Technology|adjective
global governance|General|noun
going concern|Business & Finance|noun
goodwill|Business & Finance|noun
governance structure|Business & Finance|noun
gross margin|Business & Finance|noun
growth hacking|Business & Finance|noun
hedging strategy|Business & Finance|noun
heterogeneous|General|adjective
heuristic|General|noun
high-frequency trading|Business & Finance|noun
holding company|Business & Finance|noun
horizontal integration|Business & Finance|noun
human rights law|General|noun
illiquidity|Business & Finance|noun
impact evaluation|General|noun
imputed cost|Business & Finance|noun
in-house|Work & Career|adverb
incidental cost|Business & Finance|noun
incremental cost|Business & Finance|noun
indemnify|Business & Finance|verb
indemnity clause|Business & Finance|noun
index fund|Business & Finance|noun
indirect cost|Business & Finance|noun
inflationary|Business & Finance|adjective
ink|General|noun
insolvency|Business & Finance|noun
institutional investor|Business & Finance|noun
interest coverage|Business & Finance|noun
intermediary|Business & Finance|noun
intracompany|Business & Finance|adjective
