# C2 - Proficiency Level Words (CEFR C2)
# Format: english|category|partOfSpeech
# Proficiency vocabulary - rare, literary, and specialized terms
# Rare & Literary Vocabulary
ancillary|General|adjective
anodyne|General|adjective
antinomianism|General|noun
aphoristic|General|adjective
apophenia|General|noun
appurtenant|General|adjective
aprioristic|General|adjective
arduous|General|adjective
arrogate|General|verb
atavistic|General|adjective
auspicious|General|adjective
authoritarian|General|adjective
aversion|General|noun
axiological|General|adjective
beatific|General|adjective
belligerent|General|adjective
bluster|General|verb
bravura|General|noun
bromide|General|noun
browbeat|General|verb
callow|General|adjective
capriciousness|General|noun
casuistic|General|adjective
cavalier|General|adjective
chiastic|General|adjective
circumlocutory|General|adjective
clamorous|General|adjective
clip|General|verb
coeval|General|adjective
cognomen|General|noun
comity|General|noun
complaisant|General|adjective
complicit|General|adjective
concupiscence|General|noun
confabulation|General|noun
congruity|General|noun
contrarian|General|noun
credulous|General|adjective
delectation|General|noun
deleterious|General|adjective
demotic|General|adjective
denigration|General|noun
deontological|General|adjective
deprecation|General|noun
desuetude|General|noun
dialectical|General|adjective
diffidence|General|noun
disconsolate|General|adjective
discursive|General|adjective
disingenuous|General|adjective
dismay|General|noun
dissonant|General|adjective
dissimulate|General|verb
doctrinaire|General|adjective
dogged|General|adjective
dolorous|General|adjective
duplicitous|General|adjective
ecumenical|General|adjective
effete|General|adjective
effulgent|General|adjective
embroiled|General|adjective
eminently|General|adverb
empiricist|General|noun
encroach|General|verb
enfeeble|General|verb
epitomize|General|verb
erudition|Education|noun
euphonious|General|adjective
exhaustive|General|adjective
exigency|General|noun
explicable|General|adjective
expurgate|General|verb
extemporize|General|verb
exuberance|General|noun
fatalistic|General|adjective
feckless|General|adjective
fetid|General|adjective
fiduciary|Business & Finance|adjective
fugitive|General|adjective
gainly|General|adjective
genteel|General|adjective
grandiosity|General|noun
grievous|General|adjective
hedonistic|General|adjective
hermetical|General|adjective
heterodoxy|General|noun
hoary|General|adjective
iconoclasm|General|noun
idiosyncrasy|General|noun
imbue|General|verb
imprecation|General|noun
impudent|General|adjective
incongruous|General|adjective
ingenue|General|noun
insouciance|General|noun
intransigent|General|adjective
invective|General|noun
invidious|General|adjective
lachrymose|General|adjective
lampoon|General|noun
latent|General|adjective
laudatory|General|adjective
limpid|General|adjective
loquacious|General|adjective
louche|General|adjective
luminous|General|adjective
lurid|General|adjective
machination|General|noun
magniloquent|General|adjective
malodorous|General|adjective
mawkish|General|adjective
melanoma|Health|noun
meretricious|General|adjective
minatory|General|adjective
miscreant|General|noun
mordant|General|adjective
mutable|General|adjective
myopic|General|adjective
nascent|General|adjective
nihilistic|General|adjective
noxious|General|adjective
obloquy|General|noun
odious|General|adjective
officious|General|adjective
overweening|General|adjective
phlegmatic|General|adjective
picayune|General|adjective
platitudinous|General|adjective
pleonastic|General|adjective
polemical|General|adjective
prevaricating|General|adjective
propinquity|General|noun
prosaic|General|adjective
rapacity|General|noun
recusant|General|noun
remonstrance|General|noun
reproach|General|noun
resolute|General|adjective
roseate|General|adjective
sagacious|General|adjective
salubrious|General|adjective
scathing|General|adjective
sciolism|Education|noun
sedulous|General|adjective
stolid|General|adjective
stringent|General|adjective
subversive|General|adjective
suffuse|General|verb
supererogatory|General|adjective
sycophancy|General|noun
syncopation|General|noun
tenebrous|General|adjective
timorous|General|adjective
tumultuous|General|adjective
unimpeachable|General|adjective
usurious|Business & Finance|adjective
veneration|General|noun
venial|General|adjective
verbose|General|adjective
veridical|General|adjective
vertiginous|General|adjective
vestigial|Science|adjective
vilification|General|noun
vitiate|General|verb
vituperation|General|noun
wistfulness|General|noun
brazen|General|adjective
hagiography|General|noun
hapless|General|adjective
hegemonic|General|adjective
iconoclastic|General|adjective
ire|General|noun
melanoia|General|noun

abnegatory|General|adjective
absurdism|General|noun
actualism|General|noun
adverbial clause|Education|noun
aegrotat|Education|noun
agglomeration|Science|noun
agrestic|General|adjective
aleatory|General|adjective
alienist|Health|noun
allegorize|General|verb
alluvial|Science|adjective
alveolar|Health|adjective
amanuensis|General|noun
ambidexter|General|noun
ameliorative|General|adjective
amicable settlement|Business & Finance|noun
anachronous|General|adjective
anagnoristic|General|adjective
anaphora|General|noun
anastrophe|General|noun
anhedonia|Health|noun
animadvert|General|verb
annalistic|General|adjective
anomic|General|adjective
antinomian|General|adjective
antipodean|General|adjective
aphorize|General|verb
apodictic|General|adjective
apollonian|General|adjective
apophaticism|General|noun
apophasis|General|noun
apothegm|General|noun
apterous|General|adjective
arcadian|General|adjective
archival|General|adjective
argent|General|adjective
argumentation|General|noun
aristophanic|General|adjective
armistice|General|noun
arriere-pensee|General|noun
artifex|General|noun
aseity|General|noun
aseptic|Health|adjective
asperity|General|noun
assailant|General|noun
asseverate|General|verb
ataraxia|General|noun
atemporality|General|noun
atonic|General|adjective
atrabiliousness|General|noun
autochthonous|General|adjective
autopoiesis|Science|noun
baleful|General|adjective
banausic|General|adjective
beatitude|General|noun
belletrist|Education|noun
benefaction|General|noun
benignant|General|adjective
bezant|General|noun
bildung|General|noun
bilious|General|adjective
bipartite|General|adjective
bivalent|General|adjective
blackguard|General|noun
blandish|General|verb
bovarism|General|noun
breviary|General|noun
brusque|General|adjective
cachet|General|noun
caesarean|General|adjective
caginess|General|noun
calumniator|General|noun
camarilla|General|noun
canorous|General|adjective
capacious|General|adjective
captious|General|adjective
carbuncle|Health|noun
carping|General|adjective
cathexis|General|noun
catoptric|Science|adjective
causerie|General|noun
celerity|General|noun
censorious|General|adjective
circinate|General|adjective
circumambient|General|adjective
circumspection|General|noun
clamant|General|adjective
clandestinity|General|noun
codicil|General|noun
cogitation|General|noun
cognoscente|General|noun
coherentism|General|noun
colloquialism|Education|noun
coloratura|General|noun
commensal|General|adjective
commination|General|noun
commiseration|General|noun
concomitance|General|noun
confabulate|General|verb
confutative|General|adjective
congruence|General|noun
contumely|General|noun
conventicle|General|noun
coprolalia|General|noun
corrigible|General|adjective
coruscate|General|verb
cosseted|General|adjective
countervailing|General|adjective
credenda|General|noun
crepitation|General|noun
cupidity|General|noun
daedal|General|adjective
dauntless|General|adjective
decorous|General|adjective
defenestration|General|noun
demagogic|General|adjective
demiurge|General|noun
deprecate|General|verb
depredation|General|noun
deracination|General|noun
detritus|General|noun
diachronic|General|adjective
dialectics|General|noun
didactic|Education|adjective
dionysian|General|adjective
discombobulate|General|verb
discursiveness|General|noun
disquisition|General|noun
dissimulation|General|noun
doctrinal|General|adjective
dysteleology|General|noun
ecclesiasticism|General|noun
eclectic|General|adjective
effluvium|General|noun
elenchus|General|noun
elide|General|verb
ellipsis|General|noun
elocutionary|General|adjective
empyrean|General|noun
encomiast|General|noun
epexegesis|General|noun
epiphenomenon|Science|noun
epitasis|General|noun
equivocity|General|noun
erotesis|General|noun
errant|General|adjective
eschatological|General|adjective
eudaimonia|General|noun
exculpation|General|noun
execration|General|noun
exemplum|General|noun
exordium|General|noun
expeditious|General|adjective
explicandum|General|noun
exscind|General|verb
extenuate|General|verb
fabulism|General|noun
facundity|General|noun
farinaceous|General|adjective
ferine|General|adjective
feticide|General|noun
fictive|General|adjective
figment|General|noun
filibusterer|General|noun
firmament|General|noun
florid|General|adjective
foment|General|verb
frangible|General|adjective
frisson|General|noun
fugue|General|noun
fulminate|General|verb
fuming|General|adjective
fungible|Business & Finance|adjective
galvanic|General|adjective
gelid|General|adjective
gnosis|General|noun
gravamen|General|noun
grisly|General|adjective
grotesque|General|adjective
halitosis|Health|noun
hamartia|General|noun
hapax legomenon|Education|noun
harbourage|General|noun
harmonic|Science|noun
hebdomadal|General|adjective
hecatomb|General|noun
hermeneutic|General|adjective
heteronomous|General|adjective
heuristics|General|noun
hiatus|General|noun
hieratic|General|adjective
hierophant|General|noun
hokum|General|noun
homiletic|General|adjective
horology|Science|noun
hortative|General|adjective
hubristic|General|adjective
hypostasis|General|noun
hypothetical|General|adjective
iambic|General|adjective
iconography|General|noun
idiographic|General|adjective
ignis fatuus|General|noun
immemorial|General|adjective
impascible|General|adjective
impeccable|General|adjective
impetration|General|noun
implacability|General|noun
imprecise|General|adjective
inanition|General|noun
inchoateness|General|noun
incommensurability|General|noun
inconsequential|General|adjective
incubus|General|noun
indigent|General|adjective
inerrancy|General|noun
infamy|General|noun
infructuous|General|adjective
ingrate|General|noun
inimitable|General|adjective
innocuousness|General|noun
inquisitorial|General|adjective
insouciant|General|adjective
insubstantial|General|adjective
internecine|General|adjective
interregnum|General|noun
knave|General|noun
lachrymosity|General|noun
languorous|General|adjective
laudable|General|adjective
legerdemain|General|noun
libertine|General|noun
liminality|General|noun
limpidity|General|noun
lissome|General|adjective
logomachist|General|noun
loquacity|General|noun
lugubriousness|General|noun
lumpen|General|adjective
machiavellism|General|noun
maculation|General|noun
malediction|General|noun
maleficence|General|noun
malfeasant|General|adjective
mantic|General|adjective
marginalia|General|noun
martinet|General|noun
meliorism|General|noun
mendicant|General|noun
metaphrast|Education|noun
misanthropy|General|noun
modalize|General|verb
monism|General|noun
morosity|General|noun
mortification|General|noun
mucilaginous|General|adjective
mulct|General|verb
mundanity|General|noun
mystagogue|General|noun
nativity|General|noun
neologism|Education|noun
nescience|General|noun
nomenclator|General|noun
nominalism|General|noun
nonplus|General|verb
normative|General|adjective
nugatory|General|adjective
obsequiousness|General|noun
obtuse|General|adjective
occlude|General|verb
ominously|General|adverb
ontological|General|adjective
oracle|General|noun
ostentation|General|noun
outlandish|General|adjective
overt|General|adjective
palingenesis|General|noun
parody|General|noun
passive aggression|General|noun
pathetic fallacy|General|noun
patrician|General|noun
pellucid|General|adjective
penitent|General|adjective
peripatetic|General|adjective
perjury|General|noun
perspicacity|General|noun
pettifog|General|verb
phantasm|General|noun
picaresque|General|adjective
pietism|General|noun
plangent|General|adjective
pleonasm|General|noun
plutocracy|General|noun
polarity|General|noun
popinjay|General|noun
portend|General|verb
positivism|General|noun
postulate|General|verb
presage|General|verb
preternatural|General|adjective
prima facie|General|phrase
primogeniture|General|noun
probative|General|adjective
procerity|General|noun
prodrome|Health|noun
propitiate|General|verb
protean|General|adjective
providential|General|adjective
puffery|General|noun
puissant|General|adjective
pure reason|General|noun
putsch|General|noun
pyrrhic|General|adjective
quaestio|General|noun
quiescent|General|adjective
quotidian|General|adjective
rancorous|General|adjective
ratiocinate|General|verb
reactionary|General|adjective
recuse|General|verb
redact|General|verb
reductio ad absurdum|General|phrase
refulgent|General|adjective
renege|General|verb
rescission|Business & Finance|noun
restive|General|adjective
retrograde|General|adjective
ribald|General|adjective
rictus|General|noun
rodomontade|General|noun
rubric|Education|noun
rupture|General|noun
sagacity|General|noun
saturnalia|General|noun
scarify|General|verb
scion|General|noun
scurrility|General|noun
sectarianism|General|noun
senescent|General|adjective
sententiousness|General|noun
servility|General|noun
simper|General|verb
skeptic|General|noun
snootiness|General|noun
solecism|Education|noun
soliloquize|General|verb
somniloquy|General|noun
sophistic|General|adjective
sortilege|General|noun
splenetic|General|adjective
syllogism|General|noun
syncretism|General|noun
tabula rasa|General|phrase
tergiversate|General|verb
tendentiousness|General|noun
toady|General|verb
torpitude|General|noun
transcendentalism|General|noun
transmogrify|General|verb
trepidation|General|noun
uncanny|General|adjective
unkempt|General|adjective
unmoored|General|adjective
valedictory|General|adjective
verisimilitude|General|noun
vermicular|General|adjective
vertex|Science|noun
vouchsafe|General|verb
waggish|General|adjective
wily|General|adjective
wonkish|General|adjective
yahoo|General|noun
yeomanry|General|noun

abasia|Health|noun
abelian|Science|adjective
aboulia|Health|noun
abrasax|General|noun
acanthosis|Health|noun
accidie|General|noun
acoemeti|General|noun
acontextual|General|adjective
acrasial|Science|adjective
acromegaly|Health|noun
actionism|General|noun
actus reus|General|noun
adiastatic|Science|adjective
adminicle|General|noun
adnominal|Education|adjective
advent|General|noun
aegism|General|noun
aeon|General|noun
affective fallacy|Education|noun
agnosia|Health|noun
agraphia|Health|noun
agyrophobia|Health|noun
ailurophile|General|noun
alogism|General|noun
altricial|Science|adjective
ambivalence|Health|noun
amelioration|General|noun
ametabolous|Science|adjective
amusia|Health|noun
anagnoresis|General|noun
analectic|Education|adjective
analytic philosophy|General|noun
anarcho-syndicalism|General|noun
androgyne|General|noun
anhedonic|Health|adjective
anilingus|General|noun
animalization|General|noun
anisotropic|Science|adjective
annihilate|General|verb
ante meridiem|General|phrase
anthropocentric|Science|adjective
antinomic|General|adjective
antisocial personality|Health|noun
antithetical|General|adjective
aperitif|General|noun
aphanite|Science|noun
aphonia|Health|noun
apokatastasis|General|noun
apoplexy|Health|noun
apotropaic|General|adjective
aquifer|Science|noun
archaism|Education|noun
archivist|Work & Career|noun
archontic|General|adjective
aretalogy|General|noun
argotic|Education|adjective
aristogenics|Science|noun
arophane|Science|noun
asexual|General|adjective
asomatous|General|adjective
asseveration|General|noun
astasia|Health|noun
ataraxic|General|adjective
atomism|General|noun
aucupation|General|noun
aureole|General|noun
autochthon|General|noun
avulsion|Health|noun
balderdash|General|noun
balkanization|General|noun
batrachomyomachy|General|noun
bearish|Business & Finance|adjective
bedlam|General|noun
bedraggled|General|adjective
beggarly|General|adjective
bewail|General|verb
bilge|General|noun
biome|Science|noun
brachylogy|General|noun
breach|General|noun
brecciate|Science|verb
brimstone|General|noun
brindled|General|adjective
bullish|Business & Finance|adjective
cacoethes|General|noun
cadaverous|General|adjective
calamitous|General|adjective
callosity|General|noun
camassia|Science|noun
canard|General|noun
carousal|General|noun
cataclysm|General|noun
catacomb|General|noun
catalexis|General|noun
cataplasm|Health|noun
